#{"t_start": 1619579352.0498183, "env_id": null}
r,l,t
-0.605167,3,13.695521
-0.225167,2,20.966528
-1.2845,4,32.488521
-0.219667,2,40.568986
-0.044833,1,45.84199
-2.3105,5,59.569985
-0.045,1,64.875998
-1.294833,4,74.637006
-1.2785,4,86.828993
-2.370667,5,101.140987
-0.218333,2,108.734999
-0.587833,3,119.390994
-0.2195,2,127.517003
-0.217667,2,136.020988
-0.238667,2,142.919996
-0.607,3,152.586993
-0.632333,3,161.771002
-0.605,3,171.087988
-1.271167,4,182.490984
-0.045333,1,187.983985
-0.045,1,192.845997
-0.6245,3,202.637014
-0.619,3,212.743985
-0.046833,1,218.126004
-0.044833,1,223.451984
-0.0485,1,228.695987
-0.218333,2,237.645995
-0.217833,2,245.305991
-0.217667,2,253.918006
-0.218333,2,262.363988
-0.047333,1,267.383017
-1.2975,4,279.891013
-0.2195,2,288.041986
-0.049333,1,292.533992
-0.044833,1,297.846003
-1.300333,4,309.960986
-0.218,2,316.983513
-0.044667,1,322.8045
-0.0455,1,327.61749
-0.218833,2,335.664501
-0.219833,2,342.859483
-0.606167,3,351.8835
-0.046,1,357.802483
-0.046167,1,363.4235
-0.217667,2,372.053481
-0.218167,2,379.998133
-1.298667,4,393.359127
-0.218333,2,401.409131
-1.303833,4,414.842128
-0.044833,1,420.151128
-0.046167,1,425.471151
-0.601667,3,436.043131
-0.217667,2,443.310144
-1.2975,4,455.247142
-1.287167,4,466.094132
-0.048167,1,471.499128
-1.335833,4,482.789132
-0.605833,3,493.426142
-2.374333,5,506.47113
-0.6045,3,516.682125
-0.218833,2,524.724127
-0.2195,2,532.299125
-0.605833,3,543.047137
-0.047333,1,547.443133
-0.044833,1,552.681122
-0.2115,2,560.288127
-0.623,3,569.265143
-0.2195,2,576.419122
-0.219167,2,584.920125
-0.217667,2,592.056125
-0.626,3,600.561141
-0.218333,2,608.667125
-1.291833,4,620.960152
-0.046333,1,626.832171
-0.046167,1,632.280171
-0.6225,3,642.00017
-2.326667,5,654.992171
-0.618667,3,665.252192
-0.045167,1,671.285171
-0.048167,1,676.881173
-0.602,3,688.302193
-0.045333,1,694.202175
-0.048167,1,699.806172
-1.287333,4,712.647165
-0.206833,2,720.466166
-0.607667,3,730.479167
-1.318833,4,743.880173
-0.046167,1,749.437674
-0.6065,3,760.458674
-0.219833,2,769.087696
-1.281667,4,781.471672
-0.044667,1,787.310688
-0.219,2,795.851679
-1.2905,4,807.828696
-0.048167,1,813.395695
-0.05,1,817.991702
-0.6065,3,828.543695
-0.219833,2,836.197691
-0.219,2,844.354707
-0.046667,1,849.348721
-0.232833,2,856.774778
-0.044667,1,862.573759
-0.045167,1,868.370768
-2.329167,5,883.152858
-0.218667,2,890.381778
-0.044833,1,895.716787
-0.612333,3,906.562765
-0.217667,2,914.661763
-0.6065,3,924.94478
-0.205,2,933.399759
-0.57,3,943.830763
-0.217667,2,951.877767
-1.2775,4,965.595763
-1.2655,4,977.840779
-0.045,1,982.818781
-0.045167,1,987.783769
-0.608,3,997.596758
-0.2195,2,1005.736787
-0.217333,2,1012.900778
-0.047,1,1018.383781
-0.217667,2,1026.986762
-2.3295,5,1041.857766
-0.611,3,1051.648768
-0.044667,1,1057.517778
-1.2815,4,1070.370772
-0.045,1,1075.756764
-0.045333,1,1081.634762
-0.046,1,1087.491787
-0.218167,2,1095.540782
-0.044667,1,1101.410761
-0.6045,3,1111.684767
-0.644667,3,1120.832778
-1.293167,4,1133.772781
-0.218333,2,1142.301778
-0.611,3,1152.152771
-0.618667,3,1161.264764
-0.045333,1,1166.607779
-0.046,1,1172.552779
