#{"t_start": 1619470822.6716092, "env_id": null}
r,l,t
-0.620667,3,12.503418
-0.220167,2,19.587428
-0.608167,3,30.277429
-0.217333,2,37.777418
-0.219,2,46.172412
-0.631167,3,54.772417
-1.307,4,66.683427
-0.6065,3,76.995421
-0.044833,1,82.907413
-0.049333,1,87.514418
-0.216,2,95.607419
-0.047167,1,101.646408
-0.048167,1,107.156427
-0.219,2,115.752411
-0.601833,3,126.844418
-0.219667,2,134.89643
-0.217667,2,142.024417
-2.3385,5,154.80143
-1.334333,4,165.443418
-0.0455,1,170.774415
-0.205,2,178.742411
-0.047833,1,184.659409
-0.046667,1,189.609417
-0.046,1,195.45765
-1.288833,4,208.291672
-0.044667,1,214.036651
-0.226667,2,220.873651
-0.044667,1,226.64965
-0.220167,2,234.866653
-1.3005,4,245.960654
-0.613833,3,256.708653
-0.218167,2,263.881656
-0.0475,1,269.352657
-0.046667,1,275.24565
-0.564,3,285.07365
-0.226,2,292.331654
-0.228667,2,298.654653
-0.047333,1,303.655629
-0.213,2,310.926602
-0.22,2,317.955602
-0.218833,2,326.02761
-0.219,2,334.469609
-0.219333,2,341.588602
-0.046,1,347.433608
-0.226833,2,355.120608
-1.3205,4,366.155603
-0.044833,1,371.480614
-0.604667,3,381.588611
-0.608,3,390.776608
-0.228667,2,398.120634
-0.607667,3,408.629624
-0.605167,3,418.017618
-0.047167,1,424.0096
-0.046,1,428.09562
-0.607333,3,438.794619
-0.2195,2,446.886629
-0.2195,2,454.46461
-1.297667,4,465.955601
-0.046667,1,470.872616
-0.045,1,475.747602
-0.047167,1,481.761614
-2.395,5,495.230621
-0.044667,1,500.945624
-0.204833,2,508.79062
-0.624,3,518.616608
-0.6065,3,529.28761
-0.612667,3,539.698459
-0.220833,2,546.338479
-0.223,2,552.499458
-2.351833,5,566.345486
-0.226167,2,574.46046
-0.048167,1,579.911469
-0.220167,2,587.56946
-0.602333,3,597.788472
-0.047833,1,603.645459
-0.627833,3,613.762467
-0.045,1,618.617465
-1.277667,4,631.299468
-0.044667,1,637.027468
-1.286833,4,648.385489
-0.603667,3,658.759456
-0.217667,2,666.398488
-0.218333,2,673.449474
-0.046833,1,678.895465
-0.045333,1,684.189462
-0.044833,1,689.473478
-1.291833,4,701.419462
-0.219667,2,709.904466
-0.2215,2,716.576473
-0.6095,3,726.063468
-0.219,2,734.124463
-1.282833,4,745.376526
-0.218333,2,753.920463
-0.607667,3,764.015469
-0.59,3,774.809458
-0.217,2,782.766486
-0.047,1,788.190461
-0.0455,1,793.55047
-1.350167,4,805.899462
-0.231333,2,812.701457
-0.044833,1,818.043467
-0.5835,3,826.52446
-0.047333,1,831.46146
-2.3425,5,846.862466
-0.219,2,854.084467
-0.6025,3,864.561466
-0.605,3,873.992462
-0.6175,3,883.284468
-0.219833,2,890.768487
-0.227167,2,898.217466
-0.205167,2,905.171463
-0.218333,2,913.857464
-0.6205,3,922.991465
-0.598833,3,933.240471
-0.2195,2,939.874467
-0.620167,3,949.780461
-0.047333,1,954.714459
-0.221167,2,962.277488
-0.204833,2,970.102458
-0.2195,2,978.05747
-0.605167,3,987.807466
-2.386167,5,1001.952466
-1.309833,4,1013.909465
-0.218333,2,1022.027463
-0.2195,2,1029.600466
-0.044667,1,1035.308466
-0.219167,2,1042.477043
-0.218167,2,1050.178062
-0.045333,1,1055.478002
-0.046,1,1061.321011
-0.044833,1,1066.572021
-0.0455,1,1071.929026
-0.219,2,1080.04502
-0.045,1,1085.490021
-0.045333,1,1091.21902
-0.045,1,1096.1199
-0.0455,1,1101.479908
-0.219667,2,1109.199908
-0.046,1,1115.0679
-0.046,1,1120.8529
-0.608167,3,1130.581899
-0.605,3,1140.651897
-0.044667,1,1146.381895
-0.044667,1,1152.110902
-0.046667,1,1157.038897
-0.045333,1,1162.7819
-0.605833,3,1172.933903
-0.596667,3,1182.619896
-0.045,1,1187.924915
-0.044667,1,1193.685903
-0.218833,2,1201.271898
-0.603,3,1212.280887
-0.047,1,1217.693901
-0.621333,3,1227.620903
-0.046333,1,1233.431906
-0.047167,1,1239.277895
-0.046,1,1245.111942
-1.277833,4,1257.644935
-2.316333,5,1270.609943
-0.044667,1,1276.480023
-0.2195,2,1283.643043
-0.6125,3,1292.73003
-0.218333,2,1300.456043
-0.613333,3,1310.263043
-0.046667,1,1315.251027
-1.277833,4,1328.160026
-0.217667,2,1336.312032
-0.2195,2,1343.948028
-0.046,1,1349.905835
-1.300167,4,1362.690835
-0.0505,1,1367.374839
-0.045,1,1372.747842
-0.220167,2,1380.459835
-0.219167,2,1388.140863
-0.217667,2,1396.193858
-1.303167,4,1409.092836
-0.218833,2,1417.179837
-0.629333,3,1427.611836
-0.235167,2,1434.905854
-0.047833,1,1440.952835
-0.620333,3,1449.993001
-0.6045,3,1460.82384
-0.607667,3,1470.683846
-0.044667,1,1476.471836
-0.620333,3,1486.369839
-0.044833,1,1491.764834
-0.220167,2,1499.327837
-0.600667,3,1509.733841
-0.046333,1,1515.926841
-0.2115,2,1523.350834
-0.047,1,1529.051843
-0.2195,2,1536.468837
-0.218333,2,1544.12484
-0.622333,3,1553.903843
-0.5315,3,1563.610835
-1.324667,4,1576.731837
-0.0455,1,1582.197834
-0.219333,2,1588.849843
-0.047333,1,1593.879855
-0.2335,2,1600.764842
-0.205167,2,1609.169837
-1.253167,4,1621.664834
-0.048167,1,1627.242854
-0.618333,3,1638.114836
-0.598667,3,1647.949838
-0.5925,3,1658.641867
-0.218333,2,1666.760838
-0.219667,2,1674.879835
-0.606333,3,1684.825837
-0.219,2,1693.004835
-0.618833,3,1702.565838
-0.217833,2,1710.717838
-0.0455,1,1715.634838
-0.587833,3,1724.268853
-0.215167,2,1731.331853
-0.044833,1,1736.68185
-0.0455,1,1742.142853
-0.044833,1,1747.431837
-0.0475,1,1752.872838
-0.223833,2,1759.637835
-0.609167,3,1769.572726
-1.324167,4,1781.460731
-0.612167,3,1792.198045
-0.220167,2,1800.310055
-0.045,1,1805.245045
-0.044667,1,1811.092054
-0.048,1,1815.622035
-0.048,1,1820.305054
-0.0485,1,1825.400056
-0.044667,1,1831.19804
-0.622833,3,1842.036049
-0.585333,3,1852.862038
-0.044667,1,1858.634046
-0.622,3,1868.541044
-1.296667,4,1880.586054
-0.045333,1,1885.914033
-0.623667,3,1896.782063
-0.227833,2,1903.689055
-0.22,2,1911.327055
-0.230833,2,1919.142056
-2.3565,5,1933.40104
-1.2935,4,1945.527055
-0.608,3,1954.463055
-0.044833,1,1959.790055
-0.204167,2,1967.636054
-1.337,4,1979.075054
-1.286833,4,1990.562056
-0.219833,2,1998.147066
-0.218833,2,2006.275054
-0.219,2,2014.362043
-0.045,1,2019.296057
-0.624333,3,2029.389054
-1.235,4,2039.528069
-2.3785,5,2050.778039
-0.624333,3,2060.874057
-0.204167,2,2068.783046
-0.621167,3,2077.647059
-0.0455,1,2082.619056
-2.298,5,2097.526057
-0.22,2,2105.196055
-0.047167,1,2111.174054
-0.045333,1,2115.678054
-0.605833,3,2126.431046
-0.215833,2,2134.653055
-1.289833,4,2146.853054
-0.046167,1,2152.305055
-1.2815,4,2165.551038
-0.6145,3,2175.393035
-0.217333,2,2182.615054
-0.046667,1,2188.522055
-0.203,2,2196.87106
-0.218833,2,2204.540044
-1.306667,4,2216.638063
-0.595167,3,2226.485047
-0.048167,1,2232.022048
-0.045,1,2236.942037
-0.204167,2,2244.623054
-0.217667,2,2253.409041
-0.2195,2,2260.794039
-0.044667,1,2266.589058
-0.044667,1,2272.442054
-0.047333,1,2277.946036
-0.220167,2,2285.229063
-0.047167,1,2290.242044
-0.605833,3,2300.492054
-1.306,4,2311.858054
-0.044667,1,2317.642055
-0.044667,1,2323.40504
-0.6275,3,2332.590044
-0.045167,1,2337.930047
-0.047833,1,2342.933054
-0.047667,1,2347.933063
-2.313333,5,2362.401041
-0.629667,3,2371.541039
-0.045333,1,2377.419055
-0.045,1,2382.780055
-0.618667,3,2392.653044
-0.2195,2,2400.354044
-1.302833,4,2412.524055
-1.300333,4,2425.477041
-0.205,2,2433.922035
-0.218167,2,2441.032056
-0.625167,3,2450.111056
-0.203667,2,2457.744039
-0.219667,2,2465.341059
-0.2345,2,2472.678042
-0.62,3,2482.623044
-1.2655,4,2494.798063
-1.259333,4,2506.578055
-0.218833,2,2513.204055
-0.0475,1,2518.689054
-0.611333,3,2527.716055
-0.609333,3,2537.165036
-0.044667,1,2542.984051
-0.6165,3,2553.307055
-0.045333,1,2559.205035
-0.218833,2,2566.954485
-0.591167,3,2576.799496
-2.376667,5,2590.271496
-0.218833,2,2598.319496
-2.371667,5,2612.410497
-1.299,4,2624.906475
-1.297833,4,2636.103485
-0.045,1,2641.483497
-0.046167,1,2647.344181
-0.047,1,2653.023065
-2.374833,5,2667.679066
-0.044667,1,2673.635065
-0.608,3,2683.361063
-0.218167,2,2691.497054
-1.314167,4,2703.061046
-0.217,2,2710.940043
-0.221333,2,2718.266046
-0.044833,1,2723.599046
-0.619333,3,2733.723055
-0.046667,1,2739.663065
-0.2195,2,2747.803065
-0.0455,1,2752.810064
-0.628833,3,2762.870063
-0.046667,1,2768.791066
-1.3085,4,2780.912048
-0.044667,1,2786.712065
-0.218,2,2794.332066
-1.2895,4,2807.395064
-0.044667,1,2813.186063
-0.604333,3,2824.01907
-0.044833,1,2829.343076
-0.6035,3,2840.142046
-0.044667,1,2845.975064
-0.218333,2,2853.596001
-0.2195,2,2860.357001
-0.217667,2,2868.488
-0.219667,2,2876.589004
-1.314,4,2887.732003
-0.045,1,2893.366008
-0.218167,2,2900.627025
-0.218833,2,2907.658043
-0.2195,2,2915.008024
-2.2065,5,2926.95603
-0.218167,2,2934.737699
-0.215833,2,2943.698694
-0.6045,3,2954.733692
-0.217667,2,2963.736693
-0.219667,2,2972.151694
-0.6245,3,2981.838713
-0.2115,2,2989.471697
-0.593,3,3000.450699
-0.219667,2,3008.897695
-2.355,5,3023.198694
-0.220167,2,3030.534695
-0.045,1,3035.4787
-0.6065,3,3046.486693
-0.0485,1,3051.678692
-0.218333,2,3060.414694
-0.622833,3,3069.608717
-0.611,3,3080.163695
-0.2195,2,3087.654706
-0.218833,2,3096.056693
-0.045,1,3101.731725
-0.218833,2,3109.863697
-0.226167,2,3117.444716
-0.600333,3,3128.941696
-1.299,4,3143.0997
-0.046667,1,3148.2497
-0.623167,3,3157.486692
-1.325667,4,3170.474694
-0.047167,1,3175.718693
-0.219833,2,3182.661513
-0.046333,1,3188.752499
-0.045333,1,3194.741494
-0.219833,2,3201.775501
-0.603167,3,3212.353497
-1.281833,4,3225.123503
-1.298167,4,3237.701499
-0.046667,1,3243.151031
-0.044667,1,3249.025031
-0.046167,1,3254.474048
-0.048667,1,3258.693031
-0.212833,2,3266.999035
-0.6045,3,3278.448038
-1.293333,4,3291.131032
-3.860167,6,3306.936031
-0.045167,1,3312.793031
-1.294,4,3325.740033
-0.613833,3,3334.79106
-0.240167,2,3342.593031
-0.588167,3,3352.626037
-0.044667,1,3358.543041
-0.046333,1,3364.605051
-0.623667,3,3375.745035
-0.607667,3,3386.270062
-0.219667,2,3394.65804
-0.0455,1,3400.180032
-0.221,2,3408.517032
-0.218,2,3416.806032
-0.215167,2,3424.610033
-0.044833,1,3430.005031
-0.046833,1,3435.568031
-0.608,3,3444.90305
-2.351667,5,3458.626034
-0.047,1,3464.263031
-0.2175,2,3472.623059
-0.0475,1,3478.14551
-0.220167,2,3485.461516
-1.293,4,3497.568537
-0.046167,1,3502.955526
-0.048333,1,3507.529518
-0.219167,2,3515.606519
-0.218,2,3522.43068
-1.291833,4,3535.697685
-0.624333,3,3545.915679
-0.621833,3,3556.382685
-2.388,5,3570.281683
-0.046,1,3576.287679
-0.219167,2,3584.574699
-0.625833,3,3594.362687
-0.219167,2,3602.9107
-0.217667,2,3611.070681
-0.217667,2,3619.813686
-1.2975,4,3633.165689
-0.6035,3,3643.562686
-0.044667,1,3649.363688
-0.619,3,3660.18568
-0.219833,2,3667.012685
-0.607,3,3676.520684
-1.304,4,3688.309686
-0.044667,1,3694.391686
-0.204167,2,3702.445689
-0.044833,1,3707.983675
-0.046333,1,3713.994685
-1.278833,4,3727.389681
-0.222667,2,3734.789682
-0.606833,3,3743.93969
-0.219167,2,3751.350696
-0.046833,1,3757.074679
-0.217833,2,3765.42568
-0.044667,1,3771.321695
-0.046,1,3777.415679
-0.605833,3,3787.597687
-0.222,2,3794.975677
-1.307667,4,3806.735734
-0.219,2,3815.576238
-0.045,1,3820.611243
-0.044833,1,3826.110289
-0.210333,2,3834.801268
