#{"t_start": 1619670153.7459164, "env_id": null}
r,l,t
-0.605167,3,13.258991
-0.619333,3,23.481008
-0.619,3,33.826997
-0.0475,1,39.678989
-0.581,3,51.273995
-0.605833,3,62.721994
-0.615167,3,72.805989
-0.573,3,83.395994
-0.219,2,92.536995
-1.3065,4,104.285989
-0.218333,2,112.135017
-0.587,3,122.501993
-0.2195,2,130.335992
-0.0455,1,136.04599
-0.216333,2,144.415988
-0.605833,3,154.967009
-0.045333,1,160.991993
-0.608667,3,171.85699
-1.296667,4,181.793993
-0.233833,2,189.448018
-0.214667,2,197.229015
-0.6265,3,207.42599
-0.606667,3,218.595992
-0.219667,2,226.996
-0.219833,2,234.719989
-0.045333,1,240.732994
-0.0475,1,246.302994
-0.607667,3,255.295008
-0.608,3,265.715999
-1.311167,4,277.607992
-2.364167,5,291.15499
-0.0455,1,296.655993
-0.624333,3,306.681999
-0.596833,3,317.172932
-0.219667,2,324.895053
-0.604667,3,335.372932
-0.605167,3,346.44495
-0.0475,1,351.977949
-0.232,2,358.844942
-0.220167,2,366.158936
-0.598333,3,377.130929
-0.605,3,387.659928
-0.235167,2,395.312931
-0.619,3,405.818959
-0.219,2,414.466224
-0.047167,1,420.615246
-0.6145,3,430.734214
-0.224833,2,438.69003
-0.0455,1,444.206022
-0.6005,3,455.45901
-0.621167,3,465.47801
-0.625833,3,476.477016
-0.045333,1,482.376018
-0.607667,3,493.457013
-0.045333,1,498.898016
-0.606667,3,508.695018
-0.6045,3,519.980011
-0.224833,2,527.921016
-0.220167,2,535.977022
-0.218833,2,543.063011
-0.6305,3,552.818018
-0.220167,2,560.836018
-2.366333,5,576.720031
-0.606667,3,588.159761
-0.608167,3,598.300761
-0.5945,3,608.253779
-0.607667,3,617.700768
-0.219833,2,626.541761
-0.045333,1,631.990762
-0.045333,1,637.928762
-0.0475,1,643.521786
-0.606333,3,653.430761
-0.219,2,662.104761
-0.216667,2,670.335763
-0.604667,3,681.55276
-0.607667,3,692.085767
-0.047167,1,698.220761
-0.6065,3,707.990762
-0.219667,2,715.805769
-0.218833,2,723.086769
-0.624667,3,733.275762
-0.608167,3,742.851761
-0.587833,3,753.137763
-0.613167,3,762.374769
-0.607667,3,772.98079
-0.572833,3,783.27376
-0.215667,2,792.011761
-1.317,4,804.791771
-0.619,3,815.702764
-0.0455,1,821.248759
-0.0455,1,826.835762
-0.219,2,834.469775
-0.047167,1,840.437773
-0.2205,2,847.812778
-0.6045,3,857.82776
-0.620667,3,867.969764
-0.605167,3,878.538759
-0.607667,3,888.868763
-0.600167,3,898.273768
